day_of_week,hour,raw_trips,raw_tips,raw_fares,raw_tip_ratio,strict_trips,strict_tips,strict_fares,strict_tip_ratio,evasion_gap,evasion_rate_pct
3,17,37914,127448.63,945381.18,0.13481189672085497,23849,115363.68,509181.47,0.22656692514753138,14065,37.09711452234003
3,18,41699,129240.56,978639.62,0.1320614425972249,25829,118022.37,506368.92,0.23307585702534825,15870,38.0584666298952
3,19,38237,116426.92,815623.84,0.14274585205846851,23957,108286.51,462339.52,0.23421426314583704,14280,37.34602610037398
3,20,37363,110697.76,803964.49,0.1376898623967832,23345,104244.62,454897.5,0.2291606790540726,14018,37.51840055670048
3,21,39966,119075.86,963495.8,0.12358731610454347,23996,109679.89,473957.31,0.23141301481350715,15970,39.9589651203523
3,22,38326,109671.43,1040079.89,0.10544519806069896,21152,97426.39,426264.65,0.2285584554102715,17174,44.81031153785941
3,23,33594,88852.66,887880.49,0.10007276992875472,16981,79096.17,349345.11,0.2264127011825069,16613,49.452283145799846
4,0,22815,57031.78,551739.82,0.10336716316759592,10887,51454.8,231233.06,0.22252354399496335,11928,52.28139381985536
4,1,12847,27585.34,252330.7,0.10932217126176084,5933,25436.23,110490.47,0.2302119811781052,6914,53.81801198723437
4,2,7472,14882.68,139030.98,0.107045782170276,3333,13211.48,56745.18,0.23282118410761934,4139,55.39346895074947
4,3,4364,8060.49,89901.11,0.08965951588361923,1782,7061.19,33527.12,0.2106112902032742,2582,59.16590284142988
4,4,3939,9604.28,112309.01,0.08551655828860036,1370,6874.51,37646.64,0.18260620336901248,2569,65.21959888296523
4,5,5192,12100.33,146822.88,0.08241447109605805,2064,9013.26,63655.91,0.1415934514171583,3128,60.24653312788906
4,6,10420,21865.81,278794.36,0.0784298864582483,4559,17687.66,117079.92,0.15107338645260435,5861,56.247600767754314
4,7,18850,41283.47,473204.57,0.0872423315776515,9095,33912.01,191718.17,0.17688469486225536,9755,51.750663129973475
4,8,24418,56804.5,577700.42,0.09832864584034749,12784,47141.42,245964.92,0.19165911951997056,11634,47.64517978540421
4,9,24579,62509.69,516791.08,0.1209573702394399,14567,55938.6,285856.93,0.19568740208607152,10012,40.73395988445421
4,10,24950,71955.34,519864.75,0.13841165418505486,16164,66188.33,329940.21,0.2006070433185455,8786,35.21442885771543
4,11,26704,79767.58,566048.07,0.14092015188745366,17279,73459.62,359697.05,0.20422636215670936,9425,35.29433792690234
4,12,28199,84890.59,615137.85,0.13800254690879452,18049,77782.28,381480.41,0.20389586977742843,10150,35.994184190928756
4,13,29487,91902.84,653391.65,0.14065505734577416,18876,84036.72,406607.82,0.20667757939333287,10611,35.98534947604029
4,14,33579,106706.08,774630.36,0.1377509655056639,21326,98712.97,475167.96,0.20774332090909495,12253,36.49006819738527
4,15,35474,115575.4,839883.23,0.13760889117883685,22648,106666.89,507218.24,0.210297819731404,12826,36.15605795794103
4,16,37063,121993.35,864754.98,0.14107273484565536,22967,111879.37,501293.72,0.22318127184996453,14096,38.03253919002779
4,17,39724,119504.32,886164.81,0.1348556370682334,24095,109119.74,479316.92,0.2276567662163898,15629,39.343973416574364
4,18,43223,120442.97,957006.65,0.1258538485599865,24970,109066.72,466469.53,0.2338131710339151,18253,42.22983133979594
4,19,39323,106641.88,817525.72,0.13044467885365124,22273,98547.73,419956.91,0.23466152753624175,17050,43.358848511049516
4,20,33136,91166.52,668568.41,0.13636079515034222,19509,85322.74,377526.87,0.22600441658629492,13627,41.12445678416224
4,21,32713,93731.95,664964.75,0.14095777257365896,20097,87797.15,386679.1,0.2270542938576199,12616,38.56570782257818
4,22,35163,93414.42,757454.59,0.12332675942989534,19978,86794.62,385404.41,0.2252040136229889,15185,43.184597446179225
4,23,35015,83648.55,810830.4,0.10316405255649023,18166,75650.83,340605.9,0.2221066340894271,16849,48.11937740968156
5,0,30235,63249.13,684835.63,0.09235665790344465,14312,56389.42,252294.96,0.22350593131150936,15923,52.664130974036716
5,1,22848,40326.94,458806.12,0.08789538378433139,10178,36683.41,163044.61,0.22499001960261064,12670,55.45343137254902
5,2,16011,27716.66,296318.5,0.09353671809218797,7383,25324.51,110867.53,0.22842134211883316,8628,53.887952032977324
5,3,10567,17596.42,198290.43,0.08874064169410495,4525,15480.84,68330.32,0.2265588687423094,6042,57.17800700293366
5,4,6780,12007.45,159063.64,0.07548833913268928,2397,9401.95,45870.79,0.20496594891869097,4383,64.64601769911505
5,5,3847,8723.75,106806.23,0.08167828786766465,1094,6136.8,33488.58,0.1832505289862992,2753,71.5622563036132
5,6,5662,10803.37,144040.98,0.07500205844197949,1793,8493.53,47419.99,0.17911285936584975,3869,68.33274461321088
